# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
ERR1746669	350010	282489	30594
ERR1746668	425926	361565	34911
ERR1746667	171790	131693	18632
ERR1746666	430368	370714	35013
ERR1746665	288886	250324	26148
ERR1746664	269065	218986	26091
ERR1746663	308587	250517	26596
ERR1746662	213302	179696	17609
ERR1746661	298446	226620	26569
ERR1746660	156172	131778	18182
ERR1746568	310436	271224	30741
ERR1746618	812179	686385	77933
ERR1746619	584326	534147	43327
ERR1746612	558085	451293	36836
ERR1746613	460913	392323	40612
ERR1746610	333994	282903	30757
ERR1746611	145039	117989	11782
ERR1746616	275673	224680	26816
ERR1746617	460601	416433	38737
ERR1746614	1441784	1285234	127909
ERR1746615	244288	199540	22371
ERR1746588	187357	155496	20022
ERR1746589	494106	341849	33079
ERR1746582	188761	141372	19968
ERR1746583	436338	314317	32791
ERR1746580	116043	75479	9626
ERR1746581	223688	186092	21482
ERR1746586	234123	159587	14737
ERR1746587	447638	393062	39851
ERR1746584	197265	152825	13903
ERR1746585	118069	75280	12865
ERR1746807	391442	265265	35491
ERR1746806	517155	444816	44648
ERR1746805	396803	351073	38771
ERR1746804	400393	344515	40697
ERR1746803	331484	271854	30408
ERR1746802	655512	540297	59550
ERR1746801	367075	322204	32600
ERR1746800	421589	355717	36081
ERR1746809	244914	200334	22899
ERR1746808	95607	68359	8741
ERR1746447	199680	173081	18016
ERR1746446	115149	101687	11384
ERR1746445	371983	301389	37429
ERR1746444	273020	223855	36067
ERR1746443	473955	350737	39747
ERR1746442	227471	200602	20316
ERR1746728	172316	127670	18777
ERR1746729	417664	354559	36768
ERR1746726	83624	70574	8293
ERR1746727	85213	55246	6149
ERR1746724	200096	173217	20844
ERR1746725	122667	99429	15808
ERR1746722	28813	24630	3208
ERR1746723	436848	372277	45355
ERR1746720	185671	107478	13532
ERR1746721	139657	85795	8828
ERR1746979	226157	189926	20399
ERR1746978	235670	176347	22390
ERR1746973	186377	164127	17198
ERR1746972	120	20	67
ERR1746971	200	22	163
ERR1746970	262	34	188
ERR1746977	694913	611597	54034
ERR1746976	343139	204633	23660
ERR1746975	136	56	67
ERR1746974	659918	482342	47740
ERR1746872	264967	194962	29296
ERR1746873	293443	246477	25864
ERR1746870	195945	161414	17881
ERR1746871	937808	782917	83470
ERR1746876	339935	275840	41131
ERR1746877	701638	577469	75560
ERR1746874	223134	195082	19092
ERR1746875	49080	37778	6122
ERR1746878	186021	138187	18979
ERR1746879	44623	36882	3984
ERR1747000	133	63	50
ERR1747001	151	48	79
ERR1747002	164	78	62
ERR1747003	206	89	93
ERR1747004	2688	5	2633
ERR1747005	858	20	720
ERR1747006	392542	338823	35845
ERR1747007	581	15	523
ERR1747008	107754	89545	9771
ERR1747009	273	81	137
ERR1746531	242663	205933	21403
ERR1746530	750542	644642	65578
ERR1746537	602547	506625	55852
ERR1746536	270502	233134	23821
ERR1746535	509977	391771	85318
ERR1746534	880126	730430	95613
ERR1746432	390878	313095	31221
ERR1746433	810464	734085	71277
ERR1746430	275513	226334	37480
ERR1746431	569973	490627	53421
ERR1746436	252016	200615	23799
ERR1746437	452832	389656	35790
ERR1746434	362167	300130	32975
ERR1746435	203049	167194	19892
ERR1746384	263535	217005	27122
ERR1746385	331780	290617	27086
ERR1746438	132667	112139	12207
ERR1746439	422937	353847	38260
ERR1746380	556989	454122	59505
ERR1746381	201530	157742	18263
ERR1746382	77704	59330	7423
ERR1746383	310231	258443	30568
ERR1746986	190453	164758	18547
ERR1746987	272077	239126	23594
ERR1746984	243	31	172
ERR1746985	245	51	149
ERR1746982	805438	659341	79583
ERR1746983	528856	450811	44976
ERR1746980	387042	338930	33587
ERR1746981	500593	428020	48921
ERR1746988	542	95	402
ERR1746989	412915	329581	46312
ERR1746656	210276	163183	22488
ERR1746657	202294	165605	22792
ERR1746654	458379	333197	33361
