sample_name	sample_accession
2538.1000101	ERS1972958
2538.1000102	ERS1972959
2538.1000849	ERS1973169
2538.1001155	ERS1973341
2538.1000106	ERS1972962
2538.1000107	ERS1972963
2538.1003718	ERS1973769
2538.1003715	ERS1973767
2538.1003716	ERS1973768
2538.1003711	ERS1973764
2538.1003712	ERS1973765
2538.1003713	ERS1973766
2538.1002704	ERS1973621
2538.1001219	ERS1973375
2538.1002705	ERS1973622
2538.1001217	ERS1973374
2538.1001216	ERS1973373
2538.1001215	ERS1973372
2538.1001214	ERS1973371
2538.1001213	ERS1973370
2538.1002311	ERS1973535
2538.1001211	ERS1973368
2538.1001210	ERS1973367
2538.1002707	ERS1973624
2538.1000848	ERS1973168
2538.1002317	ERS1973540
2538.1002701	ERS1973618
2538.1001158	ERS1973344
2538.1002702	ERS1973619
2538.1001134	ERS1973326
2538.1002703	ERS1973620
2538.1000614	ERS1973087
2538.1000615	ERS1973088
2538.1000616	ERS1973089
2538.1000617	ERS1973090
2538.1003905	ERS1973781
2538.1000611	ERS1973084
2538.1000612	ERS1973085
2538.1000613	ERS1973086
2538.1003909	ERS1973785
2538.1003908	ERS1973784
2538.1000209	ERS1972993
2538.1000208	ERS1972992
2538.1002318	ERS1973541
2538.1001135	ERS1973327
2538.1002708	ERS1973625
2538.1002709	ERS1973626
2538.1000218	ERS1973001
2538.BLANK24	ERS1973837
2538.1000928	ERS1973213
2538.1000929	ERS1973214
2538.1000926	ERS1973211
2538.1000927	ERS1973212
2538.1000924	ERS1973209
2538.1000925	ERS1973210
2538.1000922	ERS1973207
2538.1000923	ERS1973208
2538.1000920	ERS1973205
2538.1000921	ERS1973206
2538.1001528	ERS1973460
2538.1003234	ERS1973676
2538.1003233	ERS1973675
2538.1003232	ERS1973674
2538.1003231	ERS1973673
2538.1002329	ERS1973552
2538.1002326	ERS1973549
2538.1001520	ERS1973455
2538.1002324	ERS1973547
2538.1002325	ERS1973548
2538.1001525	ERS1973457
2538.1001524	ERS1973456
2538.1001527	ERS1973459
2538.1001526	ERS1973458
2538.1001132	ERS1973324
2538.1001133	ERS1973325
2538.1001130	ERS1973322
2538.1001131	ERS1973323
2538.1001136	ERS1973328
2538.1001137	ERS1973329
2538.1002711	ERS1973628
2538.1002710	ERS1973627
2538.1000104	ERS1972960
2538.1000440	ERS1973061
2538.1000335	ERS1973031
2538.1000334	ERS1973030
2538.1000333	ERS1973029
2538.1003903	ERS1973779
2538.1000330	ERS1973028
2538.1000720	ERS1973117
2538.1002125	ERS1973520
2538.1000723	ERS1973119
2538.1000724	ERS1973120
2538.1000727	ERS1973121
2538.1000728	ERS1973122
2538.1000729	ERS1973123
2538.1003309	ERS1973681
2538.1000105	ERS1972961
2538.1003303	ERS1973677
2538.1003306	ERS1973680
2538.1003305	ERS1973679
2538.1000310	ERS1973018
2538.1002126	ERS1973521
2538.1001008	ERS1973251
2538.1000204	ERS1972989
2538.1001414	ERS1973424
2538.1000629	ERS1973096
2538.1001416	ERS1973426
2538.1001411	ERS1973421
2538.1001410	ERS1973420
2538.1001413	ERS1973423
2538.1001412	ERS1973422
2538.1001007	ERS1973250
2538.1002430	ERS1973581
2538.1002431	ERS1973582
2538.1001419	ERS1973428
2538.1001418	ERS1973427
2538.1002608	ERS1973604
2538.1000535	ERS1973079
2538.1000534	ERS1973078
2538.1000537	ERS1973080
2538.1000438	ERS1973059
2538.1000439	ERS1973060
2538.1000533	ERS1973077
2538.1000532	ERS1973076
2538.1000434	ERS1973055
2538.1000435	ERS1973056
2538.1000436	ERS1973057
2538.1000437	ERS1973058
2538.1000430	ERS1973051
2538.1000431	ERS1973052
2538.1000432	ERS1973053
2538.1000433	ERS1973054
2538.1003914	ERS1973790
2538.1002030	ERS1973496
2538.1000028	ERS1972956
2538.BLANK28	ERS1973841
2538.BLANK29	ERS1973842
2538.1000023	ERS1972952
2538.BLANK25	ERS1973838
2538.BLANK26	ERS1973839
2538.1000020	ERS1972950
2538.BLANK20	ERS1973833
2538.BLANK21	ERS1973834
2538.BLANK22	ERS1973835
2538.1000024	ERS1972953
2538.1000947	ERS1973226
2538.1000952	ERS1973231
2538.1001318	ERS1973400
2538.1001319	ERS1973401
2538.1001312	ERS1973395
2538.1001313	ERS1973396
2538.1001310	ERS1973393
2538.1001311	ERS1973394
2538.1001316	ERS1973398
2538.1001317	ERS1973399
2538.1001314	ERS1973397
2538.BLANK50	ERS1973881
2538.1002506	ERS1973586
2538.1000974	ERS1973247
2538.1000976	ERS1973249
2538.1000971	ERS1973244
2538.1002503	ERS1973585
2538.1000973	ERS1973246
2538.1002501	ERS1973583
2538.1000874	ERS1973188
2538.1000875	ERS1973189
2538.1000876	ERS1973190
2538.1000877	ERS1973191
2538.1000870	ERS1973184
2538.1000871	ERS1973185
2538.1000872	ERS1973186
2538.1000873	ERS1973187
2538.1002120	ERS1973515
2538.1002121	ERS1973516
2538.1002021	ERS1973487
2538.1002020	ERS1973486
2538.1002023	ERS1973489
2538.1002022	ERS1973488
2538.1002025	ERS1973491
2538.1002024	ERS1973490
2538.1002027	ERS1973493
2538.1002026	ERS1973492
2538.1002029	ERS1973495
2538.1002028	ERS1973494
2538.BLANK4.C	ERS1973865
2538.1001176	ERS1973356
2538.1001177	ERS1973357
2538.1001174	ERS1973354
2538.1001175	ERS1973355
2538.1001172	ERS1973352
2538.1001173	ERS1973353
2538.1001170	ERS1973350
2538.1001171	ERS1973351
2538.BLANK4.E	ERS1973867
2538.1001178	ERS1973358
2538.1001179	ERS1973359
2538.BLANK2.G	ERS1973831
2538.BLANK2.F	ERS1973830
2538.BLANK2.E	ERS1973829
2538.BLANK2.D	ERS1973828
2538.BLANK2.C	ERS1973827
2538.BLANK2.B	ERS1973826
2538.1002614	ERS1973608
2538.1002615	ERS1973609
2538.1003930	ERS1973803
2538.1003931	ERS1973804
2538.1003932	ERS1973805
2538.1003933	ERS1973806
2538.1003934	ERS1973807
2538.BLANK2.H	ERS1973832
2538.1000732	ERS1973126
2538.1003420	ERS1973704
2538.1003421	ERS1973705
2538.1002119	ERS1973514
2538.1002118	ERS1973513
2538.1002114	ERS1973511
2538.1002117	ERS1973512
2538.1002111	ERS1973508
2538.1002110	ERS1973507
2538.1002113	ERS1973510
2538.1002112	ERS1973509
2538.1000975	ERS1973248
2538.1002409	ERS1973563
2538.1003230	None
2538.1002408	ERS1973562
2538.1001510	ERS1973447
2538.1001512	ERS1973448
2538.1001513	ERS1973449
2538.1001514	ERS1973450
2538.1001515	ERS1973451
2538.1001517	ERS1973452
2538.1001518	ERS1973453
2538.1001519	ERS1973454
2538.1001433	ERS1973438
2538.1003428	ERS1973711
2538.1000970	ERS1973243
2538.1003429	ERS1973712
2538.1002403	ERS1973557
2538.1000972	ERS1973245
2538.1002402	ERS1973556
2538.1003622	ERS1973755
2538.1001032	ERS1973275
2538.1000528	ERS1973072
2538.1000529	ERS1973073
2538.1001428	ERS1973434
2538.1002508	ERS1973587
2538.1001424	ERS1973430
2538.1001425	ERS1973431
2538.1001426	ERS1973432
2538.1001427	ERS1973433
2538.1001420	ERS1973429
2538.1001055	ERS1973292
2538.1001054	ERS1973291
2538.1001056	ERS1973293
2538.1001051	ERS1973288
2538.1001050	ERS1973287
2538.1001053	ERS1973290
2538.1001052	ERS1973289
2538.1003624	None
2538.1000830	ERS1973156
2538.1000845	ERS1973165
2538.1000832	ERS1973158
2538.1000833	ERS1973159
2538.1000834	ERS1973160
2538.1000835	ERS1973161
2538.1000836	ERS1973162
2538.1000837	ERS1973163
2538.1000113	ERS1972969
2538.1000112	ERS1972968
2538.1000111	ERS1972967
2538.1000110	ERS1972966
2538.1000115	ERS1972971
2538.1000114	ERS1972970
2538.1000126	ERS1972978
2538.1003709	ERS1973763
2538.1003708	ERS1973762
2538.1003707	ERS1973761
2538.1003706	ERS1973760
2538.1003705	ERS1973759
2538.1003704	ERS1973758
2538.1003701	ERS1973757
2538.1001228	ERS1973381
2538.1001229	ERS1973382
2538.1000851	ERS1973171
2538.1001220	ERS1973376
2538.1001226	ERS1973379
2538.1001227	ERS1973380
2538.1001224	ERS1973377
2538.1001225	ERS1973378
2538.1000127	ERS1972979
2538.1000511	ERS1973063
2538.BLANK3.H	ERS1973851
2538.1002124	ERS1973519
2538.BLANK4.H	ERS1973870
2538.BLANK27	ERS1973840
2538.1002127	ERS1973522
2538.1000948	ERS1973227
2538.1000949	ERS1973228
2538.1002122	ERS1973517
2538.1002123	ERS1973518
2538.1000944	ERS1973223
2538.1000945	ERS1973224
2538.1000946	ERS1973225
2538.BLANK4.B	ERS1973864
2538.1002128	ERS1973523
2538.1002129	ERS1973524
2538.1000230	ERS1973012
2538.1000943	ERS1973222
2538.1000931	ERS1973216
2538.1000510	ERS1973062
2538.1000930	ERS1973215
2538.1000933	ERS1973218
2538.1002013	ERS1973480
2538.1001115	ERS1973310
2538.1002014	ERS1973481
2538.1001116	ERS1973311
2538.1000125	ERS1972977
2538.1002015	ERS1973482
2538.1002018	ERS1973484
2538.1002019	ERS1973485
2538.1001117	ERS1973312
2538.1002010	ERS1973477
2538.1002011	ERS1973478
2538.1002012	ERS1973479
2538.1000932	ERS1973217
2538.1000935	ERS1973220
2538.1000934	ERS1973219
2538.1002017	ERS1973483
