sample_name	sample_accession
1629.SubjectIBD202	ERS1464095
1629.SubjectIBD205	ERS1464098
1629.SubjectIBD204	ERS1464097
1629.SubjectIBD207	ERS1464100
1629.SubjectIBD206	ERS1464099
1629.SubjectIBD630	ERS1464503
1629.SubjectIBD631	ERS1464504
1629.SubjectIBD632	ERS1464505
1629.SubjectIBD633	ERS1464506
1629.SubjectIBD635	ERS1464507
1629.SubjectIBD637	ERS1464508
1629.SubjectIBD639	ERS1464509
1629.SubjectIBD723	ERS1464574
1629.SubjectIBD021	ERS1463914
1629.SubjectIBD020	ERS1463913
1629.SubjectIBD023	ERS1463916
1629.SubjectIBD022	ERS1463915
1629.SubjectIBD025	ERS1463918
1629.SubjectIBD024	ERS1463917
1629.SubjectIBD148	ERS1464041
1629.SubjectIBD149	ERS1464042
1629.SubjectIBD146	ERS1464039
1629.SubjectIBD147	ERS1464040
1629.SubjectIBD144	ERS1464037
1629.SubjectIBD145	ERS1464038
1629.SubjectIBD142	ERS1464035
1629.SubjectIBD143	ERS1464036
1629.SubjectIBD140	ERS1464033
1629.SubjectIBD141	ERS1464034
1629.SubjectIBD704	ERS1464559
1629.SubjectIBD705	ERS1464560
1629.SubjectIBD706	ERS1464561
1629.SubjectIBD707	ERS1464562
1629.SubjectIBD701	ERS1464556
1629.SubjectIBD702	ERS1464557
1629.SubjectIBD703	ERS1464558
1629.SubjectIBD708	ERS1464563
1629.SubjectIBD695	ERS1464552
1629.SubjectIBD559	ERS1464452
1629.SubjectIBD558	ERS1464451
1629.SubjectIBD724	ERS1464575
1629.SubjectIBD418	ERS1464311
1629.SubjectIBD419	ERS1464312
1629.SubjectIBD550	ERS1464443
1629.SubjectIBD410	ERS1464303
1629.SubjectIBD411	ERS1464304
1629.SubjectIBD412	ERS1464305
1629.SubjectIBD413	ERS1464306
1629.SubjectIBD414	ERS1464307
1629.SubjectIBD415	ERS1464308
1629.SubjectIBD416	ERS1464309
1629.SubjectIBD417	ERS1464310
1629.SubjectIBD487	ERS1464380
1629.SubjectIBD486	ERS1464379
1629.SubjectIBD485	ERS1464378
1629.SubjectIBD484	ERS1464377
1629.SubjectIBD483	ERS1464376
1629.SubjectIBD482	ERS1464375
1629.SubjectIBD481	ERS1464374
1629.SubjectIBD480	ERS1464373
1629.SubjectIBD564	ERS1464456
1629.SubjectIBD565	ERS1464457
1629.SubjectIBD567	ERS1464458
1629.SubjectIBD560	ERS1464453
1629.SubjectIBD561	ERS1464454
1629.SubjectIBD489	ERS1464382
1629.SubjectIBD563	ERS1464455
1629.SubjectIBD245	ERS1464138
1629.SubjectIBD244	ERS1464137
1629.SubjectIBD247	ERS1464140
1629.SubjectIBD246	ERS1464139
1629.SubjectIBD241	ERS1464134
1629.SubjectIBD240	ERS1464133
1629.SubjectIBD243	ERS1464136
1629.SubjectIBD242	ERS1464135
1629.SubjectIBD249	ERS1464142
1629.SubjectIBD248	ERS1464141
1629.SubjectIBD399	ERS1464292
1629.SubjectIBD398	ERS1464291
1629.SubjectIBD522	ERS1464415
1629.SubjectIBD344	ERS1464237
1629.SubjectIBD345	ERS1464238
1629.SubjectIBD346	ERS1464239
1629.SubjectIBD347	ERS1464240
1629.SubjectIBD340	ERS1464233
1629.SubjectIBD068	ERS1463961
1629.SubjectIBD342	ERS1464235
1629.SubjectIBD343	ERS1464236
1629.SubjectIBD065	ERS1463958
1629.SubjectIBD064	ERS1463957
1629.SubjectIBD067	ERS1463960
1629.SubjectIBD066	ERS1463959
1629.SubjectIBD061	ERS1463954
1629.SubjectIBD060	ERS1463953
1629.SubjectIBD063	ERS1463956
1629.SubjectIBD062	ERS1463955
1629.SubjectIBD669	ERS1464533
1629.SubjectIBD663	ERS1464528
1629.SubjectIBD662	ERS1464527
1629.SubjectIBD661	ERS1464526
1629.SubjectIBD660	ERS1464525
1629.SubjectIBD667	ERS1464532
1629.SubjectIBD666	ERS1464531
1629.SubjectIBD665	ERS1464530
1629.SubjectIBD664	ERS1464529
1629.SubjectIBD391	ERS1464284
1629.SubjectIBD551	ERS1464444
1629.SubjectIBD390	ERS1464283
1629.SubjectIBD027	ERS1463920
1629.SubjectIBD026	ERS1463919
1629.SubjectIBD111	ERS1464004
1629.SubjectIBD110	ERS1464003
1629.SubjectIBD113	ERS1464006
1629.SubjectIBD112	ERS1464005
1629.SubjectIBD115	ERS1464008
1629.SubjectIBD114	ERS1464007
1629.SubjectIBD117	ERS1464010
1629.SubjectIBD116	ERS1464009
1629.SubjectIBD119	ERS1464012
1629.SubjectIBD118	ERS1464011
1629.SubjectIBD030	ERS1463923
1629.SubjectIBD188	ERS1464081
1629.SubjectIBD189	ERS1464082
1629.SubjectIBD182	ERS1464075
1629.SubjectIBD183	ERS1464076
1629.SubjectIBD180	ERS1464073
1629.SubjectIBD181	ERS1464074
1629.SubjectIBD186	ERS1464079
1629.SubjectIBD187	ERS1464080
1629.SubjectIBD184	ERS1464077
1629.SubjectIBD185	ERS1464078
1629.SubjectIBD500	ERS1464393
1629.SubjectIBD501	ERS1464394
1629.SubjectIBD326	ERS1464219
1629.SubjectIBD327	ERS1464220
1629.SubjectIBD508	ERS1464401
1629.SubjectIBD509	ERS1464402
1629.SubjectIBD078	ERS1463971
1629.SubjectIBD376	ERS1464269
1629.SubjectIBD379	ERS1464272
1629.SubjectIBD378	ERS1464271
1629.SubjectIBD443	ERS1464336
1629.SubjectIBD442	ERS1464335
1629.SubjectIBD441	ERS1464334
1629.SubjectIBD440	ERS1464333
1629.SubjectIBD447	ERS1464340
1629.SubjectIBD446	ERS1464339
1629.SubjectIBD445	ERS1464338
1629.SubjectIBD444	ERS1464337
1629.SubjectIBD520	ERS1464413
1629.SubjectIBD521	ERS1464414
1629.SubjectIBD449	ERS1464342
1629.SubjectIBD448	ERS1464341
1629.SubjectIBD524	ERS1464417
1629.SubjectIBD525	ERS1464418
1629.SubjectIBD526	ERS1464419
1629.SubjectIBD527	ERS1464420
1629.SubjectIBD539	ERS1464432
1629.SubjectIBD538	ERS1464431
1629.SubjectIBD238	ERS1464131
1629.SubjectIBD239	ERS1464132
1629.SubjectIBD234	ERS1464127
1629.SubjectIBD235	ERS1464128
1629.SubjectIBD236	ERS1464129
1629.SubjectIBD237	ERS1464130
1629.SubjectIBD230	ERS1464123
1629.SubjectIBD231	ERS1464124
1629.SubjectIBD232	ERS1464125
1629.SubjectIBD233	ERS1464126
1629.SubjectIBD627	ERS1464501
1629.SubjectIBD626	ERS1464500
1629.SubjectIBD625	ERS1464499
1629.SubjectIBD624	ERS1464498
1629.SubjectIBD623	ERS1464497
1629.SubjectIBD531	ERS1464424
1629.SubjectIBD621	ERS1464495
1629.SubjectIBD620	ERS1464494
1629.SubjectIBD530	ERS1464423
1629.SubjectIBD628	ERS1464502
1629.SubjectIBD328	ERS1464221
1629.SubjectIBD329	ERS1464222
1629.SubjectIBD014	ERS1463907
1629.SubjectIBD015	ERS1463908
1629.SubjectIBD016	ERS1463909
1629.SubjectIBD017	ERS1463910
1629.SubjectIBD159	ERS1464052
1629.SubjectIBD158	ERS1464051
1629.SubjectIBD012	ERS1463905
1629.SubjectIBD013	ERS1463906
1629.SubjectIBD155	ERS1464048
1629.SubjectIBD154	ERS1464047
1629.SubjectIBD157	ERS1464050
1629.SubjectIBD156	ERS1464049
1629.SubjectIBD018	ERS1463911
1629.SubjectIBD019	ERS1463912
1629.SubjectIBD153	ERS1464046
1629.SubjectIBD152	ERS1464045
1629.SubjectIBD300	ERS1464193
1629.SubjectIBD301	ERS1464194
1629.SubjectIBD719	ERS1464571
1629.SubjectIBD718	ERS1464570
1629.SubjectIBD304	ERS1464197
1629.SubjectIBD305	ERS1464198
1629.SubjectIBD654	ERS1464521
1629.SubjectIBD307	ERS1464200
1629.SubjectIBD308	ERS1464201
1629.SubjectIBD309	ERS1464202
1629.SubjectIBD711	ERS1464565
1629.SubjectIBD710	ERS1464564
1629.SubjectIBD716	ERS1464569
1629.SubjectIBD715	ERS1464568
1629.SubjectIBD361	ERS1464254
1629.SubjectIBD607	ERS1464484
1629.SubjectIBD601	ERS1464482
1629.SubjectIBD600	ERS1464481
1629.SubjectIBD602	ERS1464483
1629.SubjectIBD409	ERS1464302
1629.SubjectIBD408	ERS1464301
1629.SubjectIBD407	ERS1464300
1629.SubjectIBD406	ERS1464299
1629.SubjectIBD405	ERS1464298
1629.SubjectIBD404	ERS1464297
1629.SubjectIBD403	ERS1464296
1629.SubjectIBD402	ERS1464295
1629.SubjectIBD401	ERS1464294
1629.SubjectIBD400	ERS1464293
1629.SubjectIBD228	ERS1464121
1629.SubjectIBD589	ERS1464476
1629.SubjectIBD586	ERS1464474
1629.SubjectIBD587	ERS1464475
1629.SubjectIBD584	ERS1464473
1629.SubjectIBD582	ERS1464472
1629.SubjectIBD580	ERS1464470
1629.SubjectIBD581	ERS1464471
1629.SubjectIBD478	ERS1464371
1629.SubjectIBD479	ERS1464372
1629.SubjectIBD472	ERS1464365
1629.SubjectIBD473	ERS1464366
1629.SubjectIBD470	ERS1464363
1629.SubjectIBD471	ERS1464364
1629.SubjectIBD476	ERS1464369
1629.SubjectIBD477	ERS1464370
1629.SubjectIBD474	ERS1464367
1629.SubjectIBD475	ERS1464368
1629.SubjectIBD278	ERS1464171
1629.SubjectIBD279	ERS1464172
1629.SubjectIBD571	ERS1464461
1629.SubjectIBD577	ERS1464467
1629.SubjectIBD576	ERS1464466
1629.SubjectIBD575	ERS1464465
1629.SubjectIBD574	ERS1464464
1629.SubjectIBD270	ERS1464163
1629.SubjectIBD271	ERS1464164
1629.SubjectIBD272	ERS1464165
1629.SubjectIBD273	ERS1464166
1629.SubjectIBD274	ERS1464167
1629.SubjectIBD275	ERS1464168
1629.SubjectIBD276	ERS1464169
1629.SubjectIBD277	ERS1464170
1629.SubjectIBD312	ERS1464205
1629.SubjectIBD292	ERS1464185
1629.SubjectIBD293	ERS1464186
1629.SubjectIBD359	ERS1464252
1629.SubjectIBD291	ERS1464184
1629.SubjectIBD296	ERS1464189
1629.SubjectIBD297	ERS1464190
1629.SubjectIBD294	ERS1464187
1629.SubjectIBD295	ERS1464188
1629.SubjectIBD353	ERS1464246
1629.SubjectIBD352	ERS1464245
1629.SubjectIBD298	ERS1464191
1629.SubjectIBD299	ERS1464192
1629.SubjectIBD357	ERS1464250
1629.SubjectIBD356	ERS1464249
1629.SubjectIBD355	ERS1464248
1629.SubjectIBD354	ERS1464247
1629.SubjectIBD388	ERS1464281
1629.SubjectIBD599	ERS1464480
1629.SubjectIBD618	ERS1464493
1629.SubjectIBD389	ERS1464282
1629.SubjectIBD616	ERS1464491
1629.SubjectIBD617	ERS1464492
1629.SubjectIBD614	ERS1464489
1629.SubjectIBD615	ERS1464490
1629.SubjectIBD612	ERS1464487
1629.SubjectIBD613	ERS1464488
1629.SubjectIBD611	ERS1464486
1629.SubjectIBD310	ERS1464203
1629.SubjectIBD124	ERS1464017
1629.SubjectIBD125	ERS1464018
1629.SubjectIBD126	ERS1464019
1629.SubjectIBD127	ERS1464020
1629.SubjectIBD120	ERS1464013
1629.SubjectIBD121	ERS1464014
1629.SubjectIBD122	ERS1464015
1629.SubjectIBD123	ERS1464016
1629.SubjectIBD128	ERS1464021
1629.SubjectIBD129	ERS1464022
1629.SubjectIBD199	ERS1464092
1629.SubjectIBD051	ERS1463944
1629.SubjectIBD052	ERS1463945
1629.SubjectIBD053	ERS1463946
1629.SubjectIBD054	ERS1463947
1629.SubjectIBD055	ERS1463948
1629.SubjectIBD056	ERS1463949
1629.SubjectIBD725	ERS1464576
1629.SubjectIBD058	ERS1463951
1629.SubjectIBD190	ERS1464083
1629.SubjectIBD193	ERS1464086
1629.SubjectIBD192	ERS1464085
1629.SubjectIBD195	ERS1464088
1629.SubjectIBD194	ERS1464087
1629.SubjectIBD197	ERS1464090
1629.SubjectIBD196	ERS1464089
1629.SubjectIBD031	ERS1463924
1629.SubjectIBD645	ERS1464515
1629.SubjectIBD131	ERS1464024
1629.SubjectIBD573	ERS1464463
1629.SubjectIBD130	ERS1464023
1629.SubjectIBD572	ERS1464462
1629.SubjectIBD579	ERS1464469
1629.SubjectIBD313	ERS1464206
1629.SubjectIBD578	ERS1464468
1629.SubjectIBD360	ERS1464253
1629.SubjectIBD436	ERS1464329
1629.SubjectIBD437	ERS1464330
1629.SubjectIBD434	ERS1464327
1629.SubjectIBD435	ERS1464328
1629.SubjectIBD432	ERS1464325
1629.SubjectIBD433	ERS1464326
1629.SubjectIBD430	ERS1464323
1629.SubjectIBD431	ERS1464324
1629.SubjectIBD537	ERS1464430
1629.SubjectIBD536	ERS1464429
1629.SubjectIBD535	ERS1464428
1629.SubjectIBD534	ERS1464427
1629.SubjectIBD533	ERS1464426
1629.SubjectIBD532	ERS1464425
1629.SubjectIBD438	ERS1464331
1629.SubjectIBD439	ERS1464332
1629.SubjectIBD368	ERS1464261
1629.SubjectIBD191	ERS1464084
1629.SubjectIBD548	ERS1464441
1629.SubjectIBD549	ERS1464442
1629.SubjectIBD529	ERS1464422
1629.SubjectIBD542	ERS1464435
1629.SubjectIBD543	ERS1464436
1629.SubjectIBD540	ERS1464433
1629.SubjectIBD541	ERS1464434
1629.SubjectIBD546	ERS1464439
1629.SubjectIBD547	ERS1464440
1629.SubjectIBD544	ERS1464437
1629.SubjectIBD545	ERS1464438
1629.SubjectIBD223	ERS1464116
1629.SubjectIBD222	ERS1464115
1629.SubjectIBD221	ERS1464114
1629.SubjectIBD220	ERS1464113
1629.SubjectIBD227	ERS1464120
1629.SubjectIBD226	ERS1464119
1629.SubjectIBD225	ERS1464118
1629.SubjectIBD224	ERS1464117
1629.SubjectIBD380	ERS1464273
1629.SubjectIBD381	ERS1464274
1629.SubjectIBD382	ERS1464275
1629.SubjectIBD383	ERS1464276
1629.SubjectIBD384	ERS1464277
1629.SubjectIBD385	ERS1464278
1629.SubjectIBD386	ERS1464279
1629.SubjectIBD387	ERS1464280
1629.SubjectIBD641	ERS1464511
1629.SubjectIBD640	ERS1464510
1629.SubjectIBD643	ERS1464513
1629.SubjectIBD362	ERS1464255
1629.SubjectIBD363	ERS1464256
1629.SubjectIBD009	ERS1463902
1629.SubjectIBD314	ERS1464207
1629.SubjectIBD366	ERS1464259
1629.SubjectIBD367	ERS1464260
1629.SubjectIBD364	ERS1464257
1629.SubjectIBD365	ERS1464258
1629.SubjectIBD003	ERS1463896
1629.SubjectIBD002	ERS1463895
1629.SubjectIBD001	ERS1463894
1629.SubjectIBD369	ERS1464262
1629.SubjectIBD007	ERS1463900
1629.SubjectIBD006	ERS1463899
1629.SubjectIBD005	ERS1463898
1629.SubjectIBD004	ERS1463897
1629.SubjectIBD317	ERS1464210
1629.SubjectIBD316	ERS1464209
1629.SubjectIBD315	ERS1464208
1629.SubjectIBD523	ERS1464416
1629.SubjectIBD098	ERS1463991
1629.SubjectIBD099	ERS1463992
1629.SubjectIBD647	ERS1464517
1629.SubjectIBD646	ERS1464516
1629.SubjectIBD094	ERS1463987
1629.SubjectIBD095	ERS1463988
1629.SubjectIBD096	ERS1463989
1629.SubjectIBD097	ERS1463990
1629.SubjectIBD090	ERS1463983
1629.SubjectIBD290	ERS1464183
1629.SubjectIBD092	ERS1463985
1629.SubjectIBD318	ERS1464211
1629.SubjectIBD358	ERS1464251
1629.SubjectIBD010	ERS1463903
1629.SubjectIBD057	ERS1463950
1629.SubjectIBD091	ERS1463984
1629.SubjectIBD319	ERS1464212
1629.SubjectIBD093	ERS1463986
1629.SubjectIBD011	ERS1463904
1629.SubjectIBD351	ERS1464244
1629.SubjectIBD160	ERS1464053
1629.SubjectIBD161	ERS1464054
1629.SubjectIBD162	ERS1464055
1629.SubjectIBD350	ERS1464243
1629.SubjectIBD164	ERS1464057
1629.SubjectIBD165	ERS1464058
1629.SubjectIBD166	ERS1464059
1629.SubjectIBD167	ERS1464060
1629.SubjectIBD168	ERS1464061
1629.SubjectIBD169	ERS1464062
1629.SubjectIBD059	ERS1463952
1629.SubjectIBD696	ERS1464553
1629.SubjectIBD694	ERS1464551
1629.SubjectIBD229	ERS1464122
1629.SubjectIBD692	ERS1464550
1629.SubjectIBD690	ERS1464548
1629.SubjectIBD691	ERS1464549
1629.SubjectIBD311	ERS1464204
1629.SubjectIBD698	ERS1464554
1629.SubjectIBD699	ERS1464555
1629.SubjectIBD642	ERS1464512
1629.SubjectIBD594	ERS1464478
1629.SubjectIBD597	ERS1464479
1629.SubjectIBD591	ERS1464477
1629.SubjectIBD469	ERS1464362
1629.SubjectIBD468	ERS1464361
1629.SubjectIBD302	ERS1464195
1629.SubjectIBD461	ERS1464354
1629.SubjectIBD460	ERS1464353
1629.SubjectIBD463	ERS1464356
1629.SubjectIBD462	ERS1464355
1629.SubjectIBD465	ERS1464358
1629.SubjectIBD464	ERS1464357
1629.SubjectIBD467	ERS1464360
1629.SubjectIBD466	ERS1464359
1629.SubjectIBD506	ERS1464399
1629.SubjectIBD507	ERS1464400
1629.SubjectIBD504	ERS1464397
1629.SubjectIBD505	ERS1464398
1629.SubjectIBD502	ERS1464395
1629.SubjectIBD503	ERS1464396
1629.SubjectIBD269	ERS1464162
1629.SubjectIBD268	ERS1464161
1629.SubjectIBD267	ERS1464160
1629.SubjectIBD266	ERS1464159
1629.SubjectIBD265	ERS1464158
1629.SubjectIBD264	ERS1464157
1629.SubjectIBD263	ERS1464156
1629.SubjectIBD262	ERS1464155
1629.SubjectIBD261	ERS1464154
1629.SubjectIBD260	ERS1464153
1629.SubjectIBD303	ERS1464196
1629.SubjectIBD281	ERS1464174
1629.SubjectIBD280	ERS1464173
1629.SubjectIBD283	ERS1464176
1629.SubjectIBD282	ERS1464175
1629.SubjectIBD285	ERS1464178
1629.SubjectIBD284	ERS1464177
1629.SubjectIBD287	ERS1464180
1629.SubjectIBD286	ERS1464179
1629.SubjectIBD289	ERS1464182
1629.SubjectIBD288	ERS1464181
1629.SubjectIBD324	ERS1464217
1629.SubjectIBD325	ERS1464218
1629.SubjectIBD322	ERS1464215
1629.SubjectIBD323	ERS1464216
1629.SubjectIBD320	ERS1464213
1629.SubjectIBD321	ERS1464214
1629.SubjectIBD306	ERS1464199
1629.SubjectIBD218	ERS1464111
1629.SubjectIBD219	ERS1464112
1629.SubjectIBD609	ERS1464485
1629.SubjectIBD008	ERS1463901
1629.SubjectIBD212	ERS1464105
1629.SubjectIBD213	ERS1464106
1629.SubjectIBD210	ERS1464103
1629.SubjectIBD211	ERS1464104
1629.SubjectIBD216	ERS1464109
1629.SubjectIBD217	ERS1464110
1629.SubjectIBD214	ERS1464107
1629.SubjectIBD215	ERS1464108
1629.SubjectIBD032	ERS1463925
1629.SubjectIBD033	ERS1463926
1629.SubjectIBD139	ERS1464032
1629.SubjectIBD138	ERS1464031
1629.SubjectIBD036	ERS1463929
1629.SubjectIBD037	ERS1463930
1629.SubjectIBD034	ERS1463927
1629.SubjectIBD035	ERS1463928
1629.SubjectIBD133	ERS1464026
1629.SubjectIBD132	ERS1464025
1629.SubjectIBD038	ERS1463931
1629.SubjectIBD039	ERS1463932
1629.SubjectIBD137	ERS1464030
1629.SubjectIBD136	ERS1464029
1629.SubjectIBD135	ERS1464028
1629.SubjectIBD134	ERS1464027
1629.SubjectIBD047	ERS1463940
1629.SubjectIBD046	ERS1463939
1629.SubjectIBD045	ERS1463938
1629.SubjectIBD044	ERS1463937
1629.SubjectIBD043	ERS1463936
1629.SubjectIBD042	ERS1463935
1629.SubjectIBD041	ERS1463934
1629.SubjectIBD040	ERS1463933
1629.SubjectIBD049	ERS1463942
1629.SubjectIBD048	ERS1463941
1629.SubjectIBD622	ERS1464496
1629.SubjectIBD528	ERS1464421
1629.SubjectIBD163	ERS1464056
1629.SubjectIBD568	ERS1464459
1629.SubjectIBD569	ERS1464460
