sample_name	sample_accession
1629.SubjectIBD488	ERS1464381
1629.SubjectIBD425	ERS1464318
1629.SubjectIBD424	ERS1464317
1629.SubjectIBD427	ERS1464320
1629.SubjectIBD426	ERS1464319
1629.SubjectIBD421	ERS1464314
1629.SubjectIBD420	ERS1464313
1629.SubjectIBD423	ERS1464316
1629.SubjectIBD422	ERS1464315
1629.SubjectIBD429	ERS1464322
1629.SubjectIBD428	ERS1464321
1629.SubjectIBD050	ERS1463943
1629.SubjectIBD198	ERS1464091
1629.SubjectIBD720	ERS1464572
1629.SubjectIBD721	ERS1464573
1629.SubjectIBD490	ERS1464383
1629.SubjectIBD491	ERS1464384
1629.SubjectIBD492	ERS1464385
1629.SubjectIBD493	ERS1464386
1629.SubjectIBD494	ERS1464387
1629.SubjectIBD495	ERS1464388
1629.SubjectIBD496	ERS1464389
1629.SubjectIBD497	ERS1464390
1629.SubjectIBD498	ERS1464391
1629.SubjectIBD499	ERS1464392
1629.SubjectIBD553	ERS1464446
1629.SubjectIBD552	ERS1464445
1629.SubjectIBD555	ERS1464448
1629.SubjectIBD554	ERS1464447
1629.SubjectIBD557	ERS1464450
1629.SubjectIBD556	ERS1464449
1629.SubjectIBD256	ERS1464149
1629.SubjectIBD257	ERS1464150
1629.SubjectIBD254	ERS1464147
1629.SubjectIBD255	ERS1464148
1629.SubjectIBD252	ERS1464145
1629.SubjectIBD253	ERS1464146
1629.SubjectIBD250	ERS1464143
1629.SubjectIBD251	ERS1464144
1629.SubjectIBD397	ERS1464290
1629.SubjectIBD396	ERS1464289
1629.SubjectIBD395	ERS1464288
1629.SubjectIBD394	ERS1464287
1629.SubjectIBD393	ERS1464286
1629.SubjectIBD392	ERS1464285
1629.SubjectIBD258	ERS1464151
1629.SubjectIBD259	ERS1464152
1629.SubjectIBD029	ERS1463922
1629.SubjectIBD371	ERS1464264
1629.SubjectIBD370	ERS1464263
1629.SubjectIBD373	ERS1464266
1629.SubjectIBD372	ERS1464265
1629.SubjectIBD375	ERS1464268
1629.SubjectIBD374	ERS1464267
1629.SubjectIBD377	ERS1464270
1629.SubjectIBD079	ERS1463972
1629.SubjectIBD076	ERS1463969
1629.SubjectIBD077	ERS1463970
1629.SubjectIBD074	ERS1463967
1629.SubjectIBD075	ERS1463968
1629.SubjectIBD072	ERS1463965
1629.SubjectIBD073	ERS1463966
1629.SubjectIBD070	ERS1463963
1629.SubjectIBD071	ERS1463964
1629.SubjectIBD674	ERS1464537
1629.SubjectIBD675	ERS1464538
1629.SubjectIBD676	ERS1464539
1629.SubjectIBD677	ERS1464540
1629.SubjectIBD670	ERS1464534
1629.SubjectIBD671	ERS1464535
1629.SubjectIBD672	ERS1464536
1629.SubjectIBD151	ERS1464044
1629.SubjectIBD678	ERS1464541
1629.SubjectIBD679	ERS1464542
1629.SubjectIBD150	ERS1464043
1629.SubjectIBD083	ERS1463976
1629.SubjectIBD082	ERS1463975
1629.SubjectIBD081	ERS1463974
1629.SubjectIBD080	ERS1463973
1629.SubjectIBD087	ERS1463980
1629.SubjectIBD086	ERS1463979
1629.SubjectIBD085	ERS1463978
1629.SubjectIBD084	ERS1463977
1629.SubjectIBD089	ERS1463982
1629.SubjectIBD088	ERS1463981
1629.SubjectIBD652	ERS1464519
1629.SubjectIBD653	ERS1464520
1629.SubjectIBD650	ERS1464518
1629.SubjectIBD102	ERS1463995
1629.SubjectIBD103	ERS1463996
1629.SubjectIBD100	ERS1463993
1629.SubjectIBD101	ERS1463994
1629.SubjectIBD106	ERS1463999
1629.SubjectIBD107	ERS1464000
1629.SubjectIBD104	ERS1463997
1629.SubjectIBD105	ERS1463998
1629.SubjectIBD656	ERS1464522
1629.SubjectIBD108	ERS1464001
1629.SubjectIBD109	ERS1464002
1629.SubjectIBD657	ERS1464523
1629.SubjectIBD177	ERS1464070
1629.SubjectIBD176	ERS1464069
1629.SubjectIBD175	ERS1464068
1629.SubjectIBD174	ERS1464067
1629.SubjectIBD173	ERS1464066
1629.SubjectIBD172	ERS1464065
1629.SubjectIBD171	ERS1464064
1629.SubjectIBD170	ERS1464063
1629.SubjectIBD179	ERS1464072
1629.SubjectIBD178	ERS1464071
1629.SubjectIBD713	ERS1464567
1629.SubjectIBD712	ERS1464566
1629.SubjectIBD069	ERS1463962
1629.SubjectIBD341	ERS1464234
1629.SubjectIBD659	ERS1464524
1629.SubjectIBD644	ERS1464514
1629.SubjectIBD348	ERS1464241
1629.SubjectIBD349	ERS1464242
1629.SubjectIBD684	ERS1464545
1629.SubjectIBD687	ERS1464546
1629.SubjectIBD680	ERS1464543
1629.SubjectIBD682	ERS1464544
1629.SubjectIBD689	ERS1464547
1629.SubjectIBD458	ERS1464351
1629.SubjectIBD459	ERS1464352
1629.SubjectIBD454	ERS1464347
1629.SubjectIBD455	ERS1464348
1629.SubjectIBD456	ERS1464349
1629.SubjectIBD457	ERS1464350
1629.SubjectIBD450	ERS1464343
1629.SubjectIBD451	ERS1464344
1629.SubjectIBD452	ERS1464345
1629.SubjectIBD453	ERS1464346
1629.SubjectIBD515	ERS1464408
1629.SubjectIBD514	ERS1464407
1629.SubjectIBD517	ERS1464410
1629.SubjectIBD516	ERS1464409
1629.SubjectIBD511	ERS1464404
1629.SubjectIBD510	ERS1464403
1629.SubjectIBD513	ERS1464406
1629.SubjectIBD512	ERS1464405
1629.SubjectIBD519	ERS1464412
1629.SubjectIBD518	ERS1464411
1629.SubjectIBD028	ERS1463921
1629.SubjectIBD339	ERS1464232
1629.SubjectIBD338	ERS1464231
1629.SubjectIBD335	ERS1464228
1629.SubjectIBD334	ERS1464227
1629.SubjectIBD337	ERS1464230
1629.SubjectIBD336	ERS1464229
1629.SubjectIBD331	ERS1464224
1629.SubjectIBD330	ERS1464223
1629.SubjectIBD333	ERS1464226
1629.SubjectIBD332	ERS1464225
1629.SubjectIBD209	ERS1464102
1629.SubjectIBD208	ERS1464101
1629.SubjectIBD201	ERS1464094
1629.SubjectIBD200	ERS1464093
1629.SubjectIBD203	ERS1464096
