sample	run
SRS892405	SRR1951190
SRS892407	SRR1951192
SRS892408	SRR1951194
SRS892409	SRR1951195
SRS892410	SRR1951196
SRS892411	SRR1951199
SRS892412	SRR1951198
SRS892417	SRR1951204
SRS892418	SRR1951206
SRS892420	SRR1951207
SRS892421	SRR1951208
SRS892422	SRR1951283
SRS892423	SRR1951209
SRS892424	SRR1951210
SRS892425	SRR1951211
SRS892428	SRR1951286
