# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
ERR2173006	21103	19017	895
ERR2173007	14227	12900	414
ERR2173004	9	4	3
ERR2173005	25121	23314	779
ERR2173002	4550	3882	314
ERR2173003	11940	10803	492
ERR2173000	13224	12245	390
ERR2173001	6739	6300	204
ERR2173161	1	0	1
ERR2173160	15482	140	12586
ERR2173163	23777	22474	441
ERR2173162	9	6	3
ERR2173165	27270	25670	681
ERR2173164	12162	7921	2523
ERR2173167	22998	22005	380
ERR2173166	6386	5884	176
ERR2173169	18176	17203	368
ERR2173168	6878	6178	202
ERR2172987	5174	4370	84
ERR2172719	77482	70954	2707
ERR2173095	14718	13673	481
ERR2173094	3970	3622	87
ERR2172711	92432	85315	2380
ERR2172710	79722	73182	3191
ERR2172713	92662	84221	4155
ERR2172712	90992	81899	4052
ERR2172715	93560	84418	4478
ERR2172667	66411	62024	1421
ERR2172717	90960	83028	2214
ERR2172716	100279	92918	3116
ERR2172666	46469	44499	438
ERR2172661	150092	134418	4534
ERR2172589	85454	77770	2288
ERR2172660	127339	111958	5133
ERR2172791	43159	39501	1691
ERR2172663	72375	68055	1495
ERR2172790	113583	101161	3445
ERR2172662	71343	66025	1320
ERR2172782	114752	102438	4106
ERR2172783	110652	101864	2930
ERR2172780	101196	91556	3388
ERR2172781	179271	161343	5654
ERR2172786	64844	59390	1554
ERR2172787	114018	103142	3832
ERR2172784	116786	105448	4321
ERR2172785	92932	83399	3428
ERR2172788	106768	95923	3813
ERR2172789	80880	74786	2016
ERR2172669	121830	109772	3220
ERR2172668	70367	64171	1899
ERR2172799	147081	130763	5950
ERR2172798	149349	132293	6069
ERR2172478	79190	67901	2163
ERR2172998	40163	37689	995
ERR2172594	12	9	3
ERR2173239	2255	53	1388
ERR2173238	1111	227	336
ERR2173231	5	2	3
ERR2173230	4	0	4
ERR2173233	8	4	4
ERR2173232	2637	2378	55
ERR2173235	51178	47549	790
ERR2173234	1	0	1
ERR2173237	6	5	1
ERR2173236	22943	20846	253
ERR2173068	14485	13266	304
ERR2172968	11	10	1
ERR2172969	25659	23084	1096
ERR2172966	19637	16332	553
ERR2172967	3	0	1
ERR2172964	59	0	5
ERR2172965	9585	9241	118
ERR2172962	19130	2942	12319
ERR2172963	6	0	1
ERR2172960	4	0	1
ERR2172961	20918	12606	5765
ERR2172841	135436	123595	4658
ERR2172840	86559	78389	3470
ERR2172843	125861	111308	5128
ERR2172842	109912	97024	5461
ERR2172845	122263	107737	6731
ERR2172844	118068	104772	5539
ERR2172847	105362	93020	5279
ERR2172846	219146	196085	9224
ERR2172849	122950	111055	4669
ERR2172848	100225	90053	4980
ERR2173198	9768	9450	95
ERR2173069	16216	15120	294
ERR2173050	33757	30619	1298
ERR2173186	11019	10350	299
ERR2172549	40916	37663	1190
ERR2172583	184896	162679	5252
ERR2172601	75549	68326	1673
ERR2173059	19	16	0
ERR2173191	14764	13515	591
ERR2172628	102980	91057	3666
ERR2172897	33208	30536	980
ERR2173192	7567	7293	107
ERR2173193	3880	2893	756
ERR2173129	13587	12485	452
ERR2173128	4	0	3
ERR2173125	8	8	0
ERR2173124	1	0	0
ERR2173127	4	0	4
ERR2173126	14255	12970	415
ERR2173121	2	2	0
ERR2173120	2	2	0
ERR2173123	4479	4336	47
ERR2173122	1623	215	467
ERR2172434	11	8	3
ERR2172435	98825	64128	13824
ERR2172436	252546	222245	9342
ERR2172437	188189	174028	3630
ERR2172430	15674	13305	359
ERR2173196	14254	13787	148
ERR2172432	63599	58263	1285
ERR2172433	83336	76701	1819
ERR2173197	3310	2976	117
ERR2172438	112028	102856	2364
ERR2172439	145095	131599	3455
ERR2172755	92154	84997	2686
ERR2172754	95781	88013	2519
ERR2172757	74973	69760	1852
ERR2172756	45607	42356	1206
ERR2172618	446238	393069	17188
ERR2172619	28675	25134	1300
ERR2172753	94837	81365	4536
ERR2172752	120402	110138	3788
ERR2172614	417614	369514	15734
ERR2172615	91410	81361	3119
ERR2172616	228340	198146	10032
ERR2172617	255667	225191	9983
ERR2172610	147831	131794	5298
ERR2172611	157926	140966	5364
ERR2172612	81823	72578	3011
ERR2172613	229253	203706	7585
ERR2172582	102633	91859	2304
ERR2172545	39178	13233	11920
ERR2173051	4	0	3
ERR2173199	11327	10850	184
ERR2173053	24441	22082	920
ERR2173052	11970	11135	295
ERR2173055	16418	15277	497
ERR2173054	11207	10296	357
ERR2173057	12859	12052	282
ERR2173056	20989	19565	522
ERR2173190	24675	22091	1441
ERR2172501	110591	100601	2665
ERR2172502	107053	99173	2477
ERR2172503	137535	126098	3277
ERR2172504	109397	98781	2709
ERR2172505	119408	109127	2264
ERR2172506	201873	182621	7206
ERR2172507	49207	45000	1422
ERR2173181	23587	20635	1743
ERR2172692	81161	36379	23541
ERR2172629	180466	159461	6406
ERR2173031	788	620	13
ERR2173030	14	0	4
ERR2172693	90763	84847	2009
ERR2173275	70	60	6
ERR2173274	50	25	4
ERR2173277	8089	7748	141
ERR2173276	7972	6728	429
ERR2173271	12	10	2
ERR2173270	29	17	12
ERR2173273	32	25	5
ERR2173272	6	3	2
ERR2173279	11880	10907	386
ERR2173278	3876	3658	33
ERR2172809	49418	45794	1654
ERR2172808	71828	65527	2347
ERR2172718	96754	88807	3123
ERR2172805	100459	91359	3380
ERR2172804	59452	53969	2145
ERR2172807	205352	190161	5753
ERR2172806	72107	66625	1825
ERR2172801	75802	68980	2566
ERR2172800	173885	154560	6462
ERR2172803	117676	107206	3877
ERR2172802	102519	94847	2695
ERR2173039	27893	25586	893
ERR2173038	12557	11948	238
ERR2172541	98743	91527	1985
ERR2172540	53746	50944	901
ERR2172386	96325	87549	2878
ERR2172387	86717	78389	2905
ERR2172384	138012	124981	4511
ERR2172385	94317	85246	3274
ERR2172382	94876	86061	3044
ERR2172383	111837	101655	3270
ERR2172380	31	25	6
ERR2173106	17319	16111	544
ERR2172894	5353	4419	395
ERR2172388	209964	188698	7015
ERR2172714	117195	108154	3367
ERR2172931	9630	8856	395
ERR2172930	7470	6648	325
ERR2172933	8997	7817	447
ERR2172932	34589	30403	1516
ERR2172935	28275	26063	1016
ERR2172934	8	8	0
ERR2172937	13952	12744	418
ERR2172936	7277	6391	375
ERR2172939	18117	16965	332
ERR2172938	11413	10034	480
ERR2172592	55355	51368	1167
ERR2172470	200208	174638	11808
ERR2172471	107372	98140	2611
ERR2172379	83060	75600	2836
ERR2172378	78946	71527	2492
ERR2172474	99392	92042	2668
ERR2172475	104397	89819	4427
ERR2172476	193900	172072	7805
ERR2172477	90897	79315	2381
ERR2172373	59368	55499	1034
ERR2172372	179994	160937	6200
ERR2172371	98082	88337	3299
ERR2172590	70206	59723	3530
ERR2172377	174266	157608	5016
ERR2172376	96433	87782	3010
ERR2172375	146193	130823	5416
ERR2172374	197357	178699	6016
ERR2172993	28777	26876	1066
ERR2172553	41135	37762	1092
ERR2172552	81	68	8
ERR2172498	110418	101209	2342
ERR2172499	188540	173583	4344
ERR2172557	38	30	6
ERR2172556	79	69	8
ERR2172555	142418	130112	4314
ERR2172554	64933	60170	1674
ERR2172492	107145	96872	3455
ERR2172493	40934	37783	974
ERR2172490	141023	129153	3187
ERR2172491	71909	64969	1641
ERR2172496	96746	87604	1964
ERR2172497	150772	138557	3345
ERR2172494	135600	125768	2589
ERR2172495	32	25	4
ERR2172450	106709	98787	2367
ERR2172598	64037	57499	1765
ERR2172699	95774	89004	2564
ERR2172988	14379	13508	343
ERR2172989	41	38	0
ERR2173015	24592	22858	606
ERR2173014	16391	14961	582
ERR2173017	18050	16251	670
ERR2173016	18999	17777	414
ERR2173011	19655	18105	509
ERR2173010	14501	13490	352
ERR2173013	26303	23425	1158
ERR2173012	13873	12711	399
ERR2173154	2	0	2
ERR2173155	10269	8979	467
ERR2173156	2	0	1
ERR2173157	4	0	2
ERR2173150	9085	8556	259
ERR2173151	9	8	0
ERR2173152	2	0	2
ERR2173153	19318	18052	519
ERR2173158	3	0	1
ERR2173159	2	0	1
ERR2172728	68122	63073	1621
ERR2172729	61799	57558	1509
ERR2172724	94637	87089	2432
ERR2172725	95089	87625	2337
ERR2172726	63053	57375	2171
ERR2172727	67403	62663	1653
ERR2172720	80562	73018	3405
ERR2172721	85486	78332	2729
ERR2172722	16576	15283	424
ERR2172723	133298	122138	3745
ERR2172627	248465	220235	9830
ERR2172626	112162	99170	4787
ERR2173107	10	0	1
ERR2172658	146785	131246	4344
ERR2172659	112541	100884	3336
ERR2172793	87511	78775	2917
ERR2172792	80245	72446	2958
ERR2172795	86377	77821	3020
ERR2172794	99209	89318	3916
ERR2172797	209226	189220	7201
ERR2172796	60086	54312	2156
ERR2172650	93857	84334	2801
ERR2172651	49853	45401	1590
ERR2172652	153179	134779	5753
ERR2172653	80252	71893	2672
ERR2172654	146446	131477	3887
ERR2172655	98263	86839	3348
ERR2172656	134749	118756	4579
ERR2172657	115365	101799	3853
ERR2172676	64560	57270	4350
ERR2172513	120430	113284	1507
ERR2172672	109265	100688	2786
ERR2172677	32252	23713	782
ERR2172992	12381	11369	550
ERR2172674	65381	60210	1819
ERR2172579	29018	26172	901
ERR2172675	35901	32656	927
ERR2173058	5	3	1
ERR2172673	181319	165896	7794
ERR2172512	127842	117457	2815
ERR2172670	98960	91580	2347
ERR2172671	175710	160000	5306
ERR2172578	46667	41585	905
ERR2173110	20611	19373	535
ERR2173208	11071	10694	119
ERR2173209	12081	11605	152
ERR2173204	13535	12974	210
ERR2173205	2852	2601	129
ERR2173206	5503	5261	90
ERR2173207	8294	7911	134
ERR2173200	7633	7334	133
ERR2173201	14970	14339	281
ERR2173202	11784	11066	218
ERR2173203	10348	9932	176
ERR2172979	29991	27958	940
ERR2172978	19367	13899	2524
ERR2172975	12243	11170	503
ERR2172974	36468	33197	1634
ERR2172977	30030	27389	1162
ERR2172976	16966	15871	488
ERR2172971	17485	15470	762
ERR2172970	12150	11337	367
ERR2172973	6341	5786	322
ERR2172972	29631	27592	960
ERR2172874	123276	101319	6508
ERR2172875	108283	98349	2783
ERR2172876	105596	95164	2811
ERR2172877	92113	84480	1822
ERR2172870	245359	221358	6066
ERR2172871	115055	104641	2455
ERR2172872	5	3	1
ERR2172873	111232	100969	2624
ERR2172679	120179	107194	7452
ERR2172878	18	17	1
ERR2172879	110862	100690	2875
ERR2172581	52349	18319	16200
ERR2172838	111543	98719	5067
ERR2172526	101691	94370	2254
ERR2172488	73538	60826	4393
ERR2172896	1	0	0
ERR2173187	19244	17049	1094
ERR2172580	67936	60627	1815
ERR2173111	14988	14202	366
ERR2173112	11161	10554	295
ERR2172428	16	10	4
ERR2173114	60	56	1
ERR2172585	86571	77189	2443
ERR2172586	61071	55372	1685
ERR2172587	70251	62104	1824
ERR2172423	69133	63999	1700
ERR2172422	54591	50619	1206
ERR2172421	104486	94981	2507
ERR2172420	166370	149134	4449
ERR2172427	57680	52681	1101
ERR2172426	66782	60714	1333
ERR2172425	77039	70617	1856
ERR2172424	40	23	15
ERR2172451	46081	43557	693
ERR2172603	112359	99290	2894
ERR2172602	82778	74821	2461
ERR2172568	79283	72663	2127
ERR2172569	65831	60551	2047
ERR2172607	81429	72036	2777
ERR2172606	97327	86168	3598
ERR2172605	94877	85268	3040
ERR2172604	143522	128495	4165
ERR2172562	135992	124673	4536
ERR2172563	120426	110079	2878
ERR2172560	38	32	4
ERR2172561	28	20	7
ERR2172566	48160	45093	694
ERR2172567	17523	14010	1190
ERR2172564	117	101	9
ERR2172565	127241	118634	2461
ERR2172688	130437	109932	7235
ERR2172591	79149	72835	1882
ERR2172528	40507	37094	1108
ERR2172486	6	2	3
ERR2172518	75927	70415	1684
ERR2172895	36276	32139	1862
ERR2172694	89628	83650	1889
ERR2172683	136852	127240	3157
ERR2172696	98542	91037	2519
ERR2172697	85304	75865	4954
ERR2172690	89245	82483	2402
ERR2172691	96976	90091	2356
ERR2172519	125400	116709	2405
ERR2173072	5139	4838	71
ERR2172517	103189	92760	3057
ERR2172516	132499	121025	3019
ERR2172515	133512	123581	2898
ERR2172514	130625	119199	3537
ERR2173183	17240	15724	874
ERR2172681	141958	131599	3620
ERR2172511	95860	88369	1969
ERR2172510	119709	107578	1792
ERR2172680	89238	83074	2383
ERR2172892	10123	9400	288
ERR2172551	165335	150975	5490
ERR2172687	119815	111326	2928
ERR2172508	75545	69970	1026
ERR2172686	92558	84994	2552
ERR2173195	11735	11238	132
ERR2172685	83553	75430	2132
ERR2172684	37754	35153	646
ERR2172431	68585	62402	1443
ERR2173248	4	1	3
ERR2173249	5	0	5
ERR2172893	17273	15930	467
ERR2173240	642	490	24
ERR2172509	45898	41998	1167
ERR2173242	1023	164	289
ERR2173243	4627	1783	1823
ERR2173244	1146	661	247
ERR2173245	5543	372	3015
ERR2173246	5	0	4
ERR2173247	3	0	3
ERR2172768	189592	173690	5315
ERR2172769	84107	77741	2240
ERR2172678	108739	97523	6698
ERR2172760	74928	68356	2245
ERR2172761	76819	71060	1922
ERR2172762	147918	136218	4487
ERR2172763	89577	80051	3259
ERR2172764	107774	98845	3587
ERR2172765	157570	143997	5022
ERR2172766	92231	85507	2373
ERR2172767	115053	106508	3255
ERR2172830	120104	108811	4563
ERR2172831	93840	83482	4443
ERR2172832	168063	149683	8162
ERR2172833	99491	88992	4790
ERR2172834	86008	77704	3852
ERR2172835	157106	140947	6076
ERR2172836	106277	95898	3901
ERR2172837	78499	69615	3427
ERR2172758	68533	62944	1896
ERR2172839	128428	113963	6531
ERR2173149	10423	9760	294
ERR2173148	9908	9164	348
ERR2173024	1	1	0
ERR2172891	15113	14095	397
ERR2172995	13158	12231	491
ERR2172994	14278	13371	497
ERR2172429	81374	74419	1904
ERR2173143	4749	4454	106
ERR2173029	23643	21472	801
ERR2172370	60596	55118	1463
ERR2172999	40060	37202	950
ERR2172395	139404	124759	4553
ERR2172394	153698	139122	5107
ERR2172397	94526	83019	2806
ERR2172396	87349	79072	2765
ERR2172391	170105	153526	5882
ERR2172390	147678	133183	4445
ERR2172393	276760	250940	8590
ERR2172392	95525	84755	3474
ERR2172595	132990	117045	4953
ERR2172399	66534	62000	1569
ERR2172398	99712	89768	3773
ERR2172548	122362	113225	2924
ERR2172904	1	0	0
ERR2172905	21786	20426	475
ERR2172906	45686	41630	1453
ERR2172907	5	1	0
ERR2172900	21261	18800	881
ERR2172901	2	1	0
ERR2172902	7452	2747	2797
ERR2172903	63354	58804	1633
ERR2173025	17189	15453	648
ERR2172908	16198	14988	390
ERR2172909	5	0	2
ERR2172467	30212	27624	634
ERR2172466	122851	103114	11926
ERR2172465	100845	93533	2739
ERR2172464	93522	85019	2420
ERR2172463	46246	34511	5595
ERR2172462	290234	263982	10242
ERR2172461	23155	21346	636
ERR2172460	130483	120565	3026
ERR2172381	148412	134229	4517
ERR2172469	68829	60914	2844
ERR2172468	83350	75832	2951
ERR2172577	93158	84471	1937
ERR2172489	27983	23415	1258
ERR2172527	64810	23729	16982
ERR2172524	131512	122204	2642
ERR2172525	102141	37909	23035
ERR2172522	52152	47836	904
ERR2172523	28	9	9
ERR2172520	179807	164109	4061
ERR2172521	5	0	5
ERR2172481	90448	82113	2193
ERR2172480	106838	95644	2607
ERR2172483	117910	103948	5431
ERR2172482	119258	106049	4237
