# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G94394	206326	111360	145
G94392	224684	106517	844
G94393	450907	260673	2318
G94391	65378	32113	306
G94718	153578	111739	8746
G94719	117941	87953	258
G104230	72629	44489	120
G75042	77323	70380	424
G104232	5525	4054	11
G104233	101819	69547	641
G75047	60779	56578	336
G104235	30928	20730	112
G75045	1737	1592	2
G104237	8554	5090	58
G94600	154467	128296	396
G94764	11661	8941	59
G75001	12329	11643	324
G94601	100612	82515	1582
G75137	59935	56612	261
G94627	91825	77595	647
G75135	54921	50837	192
G94625	145941	116867	476
G75133	82155	77298	257
G75132	57892	53222	204
G94620	99999	76507	184
G74959	10705	10417	57
G74956	15863	15310	76
G74957	12977	12581	43
G74954	10367	10036	64
G74955	10692	10320	112
G74952	6324	6119	20
G74953	5276	5111	12
G75139	62410	57019	333
G75138	41149	38813	329
G94603	150738	118730	683
G94761	36585	29424	756
G74929	1687	1515	4
G74928	6899	5846	477
G94760	74018	60316	192
G91873	4022	2897	304
G91875	8891	6993	45
G74920	15462	13636	191
G74926	6648	5719	417
G93111	46927	44907	163
G93110	52649	50357	287
G93113	40107	38609	66
G93112	41184	38936	418
G93115	27324	26195	102
G93114	23614	22273	51
G93117	42863	40058	815
G93116	22690	21905	58
G93118	57415	54581	692
G108838	28276	23610	753
G75049	55073	49883	95
G75048	46238	41449	1748
G75043	39516	36272	361
G104231	113596	68723	734
G94710	72255	54871	116
G94711	41645	34422	68
G94716	54339	44276	213
G75046	49295	45442	111
G94714	123040	103419	511
G75044	51877	48476	163
G96097	209372	113423	171
G96096	222194	109480	191
G96095	224896	111649	192
G96094	121473	62219	281
G96093	162603	80597	543
G96092	224264	114981	1136
G96091	14681	7468	104
G96090	3702	1816	69
G96099	14503	7192	64
G96098	231906	107411	705
G93130	76246	72426	989
G95968	3900	1540	356
G95969	8150	3558	131
G95966	6488	3142	9
G95967	1962	882	19
G95964	304428	146252	2970
G95962	41493	22151	118
G95963	4498	2295	19
G95960	45213	23471	415
G95961	56965	25618	323
G90270	257760	230868	2082
G94499	35394	30199	81
G94498	37028	33498	174
G94491	55154	48927	247
G94490	71639	63682	160
G94493	35005	31836	48
G94492	37293	32922	54
G94495	79551	70731	242
G94494	31877	28734	64
G94497	30320	27140	107
G94496	42052	38345	75
G94369	176948	84638	4436
G94368	51769	27923	1329
G94362	253530	124988	3205
G94360	209897	125239	1047
G94366	271430	156431	13156
G94365	41513	24858	269
G94364	204756	108221	4888
G94568	48324	43668	144
G94565	79603	71426	332
G94564	82076	73876	327
G94567	71234	63015	221
G94566	65272	57688	163
G94561	49972	43788	645
G94560	47963	43605	100
G94563	52369	45996	579
G94562	71434	38939	25834
G94385	167434	94493	2637
G94384	202588	119918	425
G94381	37985	20834	120
G94380	219544	112109	351
G94388	84586	50664	36
G104205	13382	8890	124
G104204	48349	32532	73
G104207	4728	3331	25
G104206	47998	28785	100
G104201	8186	4639	65
G104203	3745	2313	40
G104202	84354	47987	920
G104208	20849	14420	142
G94709	84282	69199	116
G94708	18814	14649	104
G94701	104786	84450	91
G94700	108266	81518	1989
G94703	159679	119467	1421
G94702	130548	103203	1446
G94705	126414	89487	46
G94704	98198	83215	625
G94707	111817	84681	6117
G94706	197723	149480	478
